               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06661,             0.01778,            0.014779,             0.72679,             0.93386,             0.92412,             0.58906,            0.035847,           0.0054215,           0.0018775,             0.07009,           0.0033234,           0.0033234
                   1,            0.044944,            0.010793,           0.0041641,              0.9796,               0.979,             0.99231,             0.68035,            0.027661,           0.0037448,            0.001494,            0.040024,           0.0065908,           0.0065908
                   2,            0.039948,           0.0084855,           0.0032268,             0.96855,             0.98078,             0.99438,             0.68086,            0.025368,           0.0033662,           0.0014091,            0.009892,           0.0097922,           0.0097922
                   3,            0.034102,           0.0073714,           0.0026493,             0.96633,             0.98804,             0.99335,             0.75124,            0.020598,           0.0030145,           0.0024683,            0.009703,            0.009703,            0.009703
                   4,            0.030329,           0.0067523,           0.0020409,             0.98895,             0.99091,             0.99474,             0.75386,            0.020976,           0.0030254,          0.00090853,            0.009703,            0.009703,            0.009703
                   5,            0.028362,           0.0064459,           0.0020732,             0.99556,                   1,               0.995,             0.77626,            0.016914,           0.0027394,          0.00073973,            0.009604,            0.009604,            0.009604
                   6,            0.026194,           0.0059036,           0.0017786,             0.99206,             0.99869,               0.995,              0.7833,            0.018494,            0.002608,          0.00059603,            0.009505,            0.009505,            0.009505
                   7,            0.024957,           0.0057932,           0.0014249,             0.99418,             0.99858,               0.995,             0.79635,            0.017289,           0.0026376,          0.00059911,            0.009406,            0.009406,            0.009406
                   8,            0.023845,           0.0057051,           0.0013678,              0.9745,             0.99942,             0.99431,             0.75396,            0.017759,           0.0026999,          0.00064688,            0.009307,            0.009307,            0.009307
                   9,            0.023403,           0.0056289,           0.0011701,              0.9981,              0.9948,               0.995,             0.82293,            0.015038,           0.0024259,          0.00053908,            0.009208,            0.009208,            0.009208
                  10,            0.022155,            0.005508,           0.0012297,             0.99553,                   1,               0.995,             0.79349,             0.01692,           0.0023905,           0.0003256,            0.009109,            0.009109,            0.009109
                  11,            0.021852,           0.0053457,          0.00087936,             0.98172,             0.99718,               0.995,             0.82853,            0.014564,           0.0023437,          0.00042526,             0.00901,             0.00901,             0.00901
                  12,            0.021217,           0.0051996,          0.00098468,             0.99547,                   1,               0.995,              0.8233,            0.015375,           0.0022694,           0.0003748,            0.008911,            0.008911,            0.008911
                  13,             0.02088,           0.0052259,          0.00094522,             0.99789,                   1,               0.995,             0.81777,            0.013798,           0.0023281,          0.00063746,            0.008812,            0.008812,            0.008812
                  14,            0.020307,           0.0051001,           0.0008669,             0.99519,                   1,               0.995,              0.8019,            0.016316,           0.0022699,          0.00022903,            0.008713,            0.008713,            0.008713
                  15,            0.019827,           0.0049763,          0.00085994,             0.99705,                   1,               0.995,             0.82313,            0.014666,           0.0023956,          0.00030302,            0.008614,            0.008614,            0.008614
                  16,            0.019871,           0.0049383,          0.00091938,             0.99679,                   1,               0.995,             0.80216,            0.015174,           0.0023305,          0.00055686,            0.008515,            0.008515,            0.008515
                  17,            0.019485,           0.0049336,          0.00077112,             0.99727,                   1,               0.995,             0.83209,            0.013358,           0.0021332,          0.00025539,            0.008416,            0.008416,            0.008416
                  18,            0.018872,           0.0048171,          0.00070978,             0.99086,             0.99985,               0.995,             0.83197,            0.013781,           0.0022088,          0.00024406,            0.008317,            0.008317,            0.008317
                  19,            0.018356,           0.0047618,          0.00072501,             0.99709,                   1,               0.995,             0.82212,            0.014056,           0.0022202,          0.00019646,            0.008218,            0.008218,            0.008218
                  20,            0.018704,           0.0047828,          0.00081181,             0.99767,                   1,               0.995,              0.8407,            0.013755,           0.0021787,          0.00026739,            0.008119,            0.008119,            0.008119
                  21,            0.017929,           0.0046816,          0.00058905,             0.99767,                   1,               0.995,             0.81957,            0.014104,           0.0022455,          0.00025043,             0.00802,             0.00802,             0.00802
                  22,            0.018002,           0.0046424,          0.00044219,             0.99737,                   1,               0.995,             0.83136,            0.013994,           0.0021928,          0.00023259,            0.007921,            0.007921,            0.007921
